#TAK ADSB IDs RUSSIA Military
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"1533cb","a-h-A-M-F-C-H","RF-78795","IL-76MD","RUS AF"
"1533cc","a-h-A-M-F-C-H","RA-78796","IL-76MD","RUS AF"
"1533cd","a-h-A-M-F-C-H","RF-78797","IL-76MD","RUS AF"
"1533d3","a-h-A-M-F-C-H","RF-78803","IL-76MD","RUS AF"
"1533d5","a-h-A-M-F-C-H","RA-78805","IL-76MD","RUS AF"
"1533d6","a-h-A-M-F-K","RA-78806","IL-78","RUS AF"
"1533d7","a-h-A-M-F-C-H","RA-78807","IL-76MD","RUS AF"
"1533d9","a-h-A-M-F-C-H","RA-78809","IL-76MD","RUS AF"
"1533da","a-h-A-M-F-C-H","RF-78810","IL-76MD","RUS AF"
"1533db","a-h-A-M-F-C-H","RF-78811","IL-76MD","RUS AF"
"1533dd","a-h-A-M-F-C-H","RF-78813","IL-76MD","RUS AF"
"1533de","a-h-A-M-F-K","RA-78814","IL-78","RUS AF"
"1533df","a-h-A-M-F-C-H","RF-78815","IL-76MD","RUS AF"
"1533e0","a-h-A-M-F-C-H","RA-78816","IL-76MD","RUS AF"
"1533e1","a-h-A-M-F-C-H","RA-78817","IL-76MD","RUS AF"
"1533e2","a-h-A-M-F-C-H","RA-78818","IL-76MD","RUS AF"
"1533e8","a-h-A-M-F-K","RA-78824","IL-78","RUS AF"
"1533ee","a-h-A-M-F-C-H","RA-78830","IL-76MD","RUS AF"
"1533ef","a-h-A-M-F-C-H","RA-78831","IL-76MD","RUS AF"
"1533f1","a-h-A-M-F-C-H","RF-78833","IL-76MD","RUS AF"
"1533f2","a-h-A-M-F-C-H","RA-78834","IL-76MD","RUS AF"
"1533f3","a-h-A-M-F-C-H","RA-78835","IL-76MD","RUS AF"
"1533f6","a-h-A-M-F-C-H","RA-78838","IL-76MD","RUS AF"
"1533f8","a-h-A-M-F-C-H","RA-78840","IL-76MD","RUS AF"
"1533fa","a-h-A-M-F-C-H","RA-78842","IL-76MD","RUS AF"
"1533fc","a-h-A-M-F-C-H","RA-78844","IL-76MD","RUS AF"
"1533fd","a-h-A-M-F-C-H","RA-78845","IL-76MD","RUS AF"
"1533ff","a-h-A-M-F-C-H","RA-78847","IL-76MD","RUS AF"
"153402","a-h-A-M-F-C-H","RA-78850","IL-76MD","RUS AF"
"153406","a-h-A-M-F-C-H","RA-78854","IL-76MD","RUS AF"
"15405a","a-h-A-M-F-C-H","RA-82010","An-124 100","RUS AF"
"15405d","a-h-A-M-F-C-H","RA-82013","An-124 100","RUS AF"
